LV ActivePower (kW),wind speed ,wind direction 
380.0477905,5.31133604,259.9949036
453.7691956,5.672166824,268.6411133
306.3765869,5.216036797,272.5647888
419.6459045,5.659674168,271.2580872
380.6506958,5.577940941,265.6742859
402.3919983,5.604052067,264.5786133
447.6057129,5.793007851,266.1636047
387.2421875,5.306049824,257.9494934
463.6512146,5.584629059,253.4806976
439.725708,5.523228168,258.7237854
498.1817017,5.724115849,251.8509979
526.8162231,5.934198856,265.5046997
710.5872803,6.547413826,274.2329102
655.1942749,6.199746132,266.7331848
754.7625122,6.505383015,266.7604065
790.1732788,6.634116173,270.4931946
742.9852905,6.378912926,266.5932922
748.2296143,6.446652889,265.5718079
736.6478271,6.415082932,261.1586914
787.2462158,6.437530994,257.5602112
722.8640747,6.220024109,255.9264984
935.0333862,6.89802599,250.0128937
1220.609009,7.60971117,255.9857025
1053.771973,7.288355827,255.4445953
1493.807983,7.943101883,256.4074097
1724.488037,8.376161575,252.4125977
1636.935059,8.23695755,247.9794006
1385.488037,7.879590988,238.6096039
1098.932007,7.101376057,245.0955963
1021.458008,6.955307007,245.410202
1164.892944,7.098298073,235.2279053
1073.332031,6.953630924,242.8726959
1165.307983,7.249577999,244.8356934
1177.98999,7.294691086,242.4815979
1170.536011,7.376369953,247.9772034
1145.536011,7.448554039,249.6829987
1114.026978,7.23925209,248.401001
1153.185059,7.329211235,244.6217041
1125.331055,7.139705181,244.6318054
1228.732056,7.474228859,245.7859955
1021.79303,7.033174038,248.6522064
957.3781738,6.886455059,244.6116943
909.8878174,6.887821198,235.8482971
1000.953979,7.216432095,232.8426971
1024.478027,7.068597794,229.933197
1009.533997,6.938295841,230.1367035
899.492981,6.536687851,234.9338074
725.1101074,6.180624962,232.8379059
585.2593994,5.816825867,240.3287964
443.9139099,5.450150967,238.126297
565.2537842,5.81814909,235.800293
644.0377808,6.130272865,224.9586945
712.0588989,6.347077847,216.803894
737.3947754,6.347436905,205.7852936
725.868103,6.194368839,199.8484955
408.997406,4.977198124,207.9978027
628.4368286,5.959111214,210.954895
716.1005859,6.21137619,215.6940002
711.4956055,6.111453056,220.8426056
838.1519165,6.456322193,237.0653076
881.0620728,6.666657925,235.6674957
663.703125,6.16287899,229.3296967
578.2615967,6.013167858,234.9006042
465.6200867,5.561203003,230.4228058
311.0509033,4.960731983,229.5375061
230.0554962,4.60387516,231.7984924
233.9906006,4.554533958,234.1056061
175.5921936,4.26362896,228.7767029
118.1331024,3.894139051,227.9389954
142.2024994,4.038761139,224.4649963
212.5661926,4.505650997,224.9505005
222.6100006,4.543397903,229.127594
194.1811981,4.323760986,227.0399933
82.64074707,3.634437084,230.3146057
75.8952179,3.705512047,233.9532928
41.94723892,3.253968,233.0659027
118.5345993,3.775136948,227.7534943
250.7559052,4.693500996,229.8966064
346.8644104,5.002939224,235.2794952
416.4179077,5.364749908,235.5852966
331.9414978,5.016181946,229.9429016
583.4799194,5.970407963,235.6952972
776.5526733,6.655520916,241.4573975
752.7263794,6.600903988,242.7821045
589.0731201,5.981378078,234.9844055
1109.128052,7.424593925,235.1472931
1482.459961,8.186451912,238.4790955
1523.430054,8.27493,237.0332031
1572.170044,8.449202538,238.3323975
1698.939941,8.575974464,235.6414032
1616.845947,8.282259941,236.4613953
1796.823975,8.734552383,234.3547974
1885.860962,8.764103889,231.0016022
2327.511963,9.669431686,227.6000977
2499.162109,10.14109039,227.7315979
2820.512939,10.77241993,225.2763977
2812.279053,10.64752007,224.680603
2530.447021,9.982661247,225.5195007
2399.121094,9.874385834,227.2738037
2335.587891,9.785479546,229.2554932
2341.133057,9.614232063,230.7368927
2391.8479,9.618504524,229.490799
2118.389893,9.098683357,223.960907
1866.845947,8.677425385,219.7937012
1865.619019,8.774898529,219.0449066
1862.447998,8.689981461,215.3352051
1884.119019,8.631073952,216.2799988
1855.776978,8.614569664,214.5290985
1958.133057,9.21884346,212.1799011
2228.24292,10.04951954,210.3085938
2529.291016,10.31871033,210.5881042
2788.25708,10.76675987,207.4813995
2692.929932,10.55825043,208.5518951
2535.353027,10.25072002,208.0106964
2584.665039,10.46477032,205.7528992
2960.183105,11.39078045,200.6542969
3062.978027,11.56554031,198.1242981
3024.39209,11.2802496,198.5381927
3187.9729,11.33677959,200.4904022
3387.228027,11.80463982,199.2469025
3209.018066,11.3635397,199.8054962
3272.665039,11.63259029,198.2677002
3209.698975,11.44476032,195.6320038
3134.518066,11.27190018,196.6611023
2977.824951,11.05900955,196.5158997
3431.772949,12.10377979,198.2570038
3604.209961,12.92813969,201.5825958
3601.327881,13.31941986,201.9421997
3604.426025,13.12152004,203.5077972
3604.391113,13.23544979,202.6929932
3604.337891,13.23589993,202.9362946
3554.687988,13.02956009,201.2539063
3479.407959,12.96393967,201.3408966
3472.333008,12.90295029,200.9795074
3491.510986,12.76634026,200.9960022
3536.989014,12.89834976,200.5142059
3528.658936,12.74211025,202.8952942
3581.540039,12.31826019,202.841095
3570.079102,12.41880989,202.4118042
3597.604004,12.54298973,201.6253052
3441.025879,12.67599964,199.3220978
3373.969971,13.00304985,197.1307068
3369.812988,13.29767036,196.4936066
3375.903076,12.84405994,195.3150024
3377.649902,12.70538998,196.0422058
3374.423096,12.1833601,197.7438965
3401.081055,12.20514011,196.8088074
3469.412109,12.60188007,193.8157043
3511.809082,12.84455013,194.3466034
3536.759033,12.49705982,196.009201
3467.808105,12.09607029,197.9526978
3460.677002,12.19612026,201.330307
3589.443115,12.55035019,201.1882019
3527.718994,12.6156702,202.6235962
3561.26709,13.10278034,201.7666016
3604.068115,13.68774986,199.0195007
3604.176025,14.10241985,196.2552032
3593.200928,14.39330959,195.8798981
3493.821045,14.07954979,197.6403046
3470.701904,14.05440044,197.2447968
3436.610107,13.51247025,195.9954071
3401.455078,13.71004963,192.4197998
3395.23291,13.7423296,191.0137024
3417.503906,13.14186001,192.2046967
3465.108887,12.86771011,192.771698
3467.417969,12.84727001,192.4705048
3522.406982,12.73211002,192.5679016
3510.10791,12.51620007,194.9992065
3513.844971,12.59866047,196.0422974
3564.008057,13.23031998,196.4087982
3475.278076,13.0946703,198.5249939
3561.990967,12.91687965,198.0101013
3521.554932,12.63354969,197.6634979
3493.60791,12.82567024,201.1040955
3555.304932,12.54162025,200.3634033
3377.12793,12.10496998,196.9826965
3479.626953,12.36250019,199.798996
3539.112061,12.60391045,201.2702942
3430.436035,12.21222019,198.9846039
3301.917969,11.98762035,202.5711975
3235.543945,11.67932987,200.7035065
3519.022949,12.46971989,197.8733978
3469.537109,12.49489975,201.1011047
3296.186035,11.78983021,200.3565979
3045.51001,10.90355015,199.4629059
3444.741943,12.18807983,202.7460022
3417.746094,11.97813034,199.4022064
2807.613037,10.67446995,197.2297058
2493.393066,9.69664669,200.3191986
3215.196045,11.41759014,200.488205
3589.590088,12.68927002,199.5281067
3599.149902,13.05860043,200.6078033
3375.177002,11.52081966,195.8547058
3346.980957,11.51231003,197.7467041
3567.967041,12.41629982,199.1638031
3519.264893,12.16014957,198.3968964
3485.191895,11.67107964,194.6569977
3145.562988,11.14585972,195.8325043
2978.310059,10.77289963,193.1703949
3179.008057,10.92975998,195.0997009
3461.581055,12.14006042,198.2947998
3082.549072,11.19556046,200.7570038
3493.657959,12.94869041,204.0805969
3601.045898,14.87942982,197.5942993
3597.564941,15.12405968,196.3455963
3602.172119,16.29367065,196.8367004
3601.99292,16.12397957,192.2306061
3600.791016,15.27460003,190.949295
3590.75,13.56672001,192.9456024
3601.845947,15.36779976,194.7528076
3601.870117,15.86174965,195.0402985
3591.655029,14.92051029,197.9895935
3579.024902,13.60853004,201.4945068
3598.131104,14.46385956,200.4884033
3525.333008,12.68828964,202.2259979
3560.699951,13.55690002,202.153595
3537.676025,13.32281017,203.2893982
3491.291016,12.60700989,201.0937042
3530.766113,12.31476021,197.5440979
2915.839111,10.3801899,200.9197998
2178.658936,9.11702919,201.0245056
2244.412109,9.253190994,198.9759979
1278.89502,9.072306633,198.2364044
2832.934082,10.34463024,196.6472015
3205.9729,11.10330963,200.1464996
3149.284912,11.06910992,198.8968048
3273.656006,11.32581043,201.1446075
3114.099121,11.01513958,204.9272003
3111.060059,10.90725994,204.813797
3361.011963,11.76941013,209.778595
3421.419922,11.87483025,209.6006012
3520.148926,12.16926003,208.3181
3589.427002,12.82061958,211.1817932
3495.115967,12.57161999,209.4647064
3298.761963,11.39929962,205.625
2894.440918,10.54543018,200.6107025
3486.628906,12.30932999,202.0561981
3455.24707,12.1683197,203.7207031
3556.785889,12.28707981,204.6085968
3375.582031,12.01319027,201.7415009
3493.979004,12.21352959,201.7156067
3549.147949,12.93774033,199.9685059
3483.315918,13.66942024,203.870697
3589.858887,13.69785976,204.8023071
3584.235107,12.75835991,202.6508026
3599.008057,12.76517963,201.2570953
3602.637939,13.07721996,203.4407043
3550.563965,12.59340954,205.1535034
3552.782959,12.51366997,205.008194
3585.010986,12.53439999,204.1203003
3421.176025,11.96442986,201.9989014
3406.040039,11.94577026,194.3786926
3515.610107,12.20707989,189.5238037
3515.965088,12.2751503,190.5794983
3475.418945,12.72264004,187.6125031
3471.156982,12.26537037,189.4371948
3281.754883,11.70368958,192.2619019
2955.11499,10.96352959,190.4571991
3061.735107,11.29796982,192.8582001
2679.110107,10.66594982,194.0843964
2721.081055,10.8332901,195.2017975
2649.136963,10.57837009,195.3432007
2707.74292,10.38854027,201.797699
2508.832031,10.08041954,204.2073975
2316.647949,9.838738441,199.747406
3081.542969,11.43999958,200.2402954
3397.638916,11.94402981,201.1663971
3391.716064,11.85929012,201.7106018
3587.510986,12.81147957,201.3484955
3603.112061,12.91353989,201.6768951
3591.093018,12.72832012,202.4132996
3221.044922,11.66357994,202.6618958
2887.733887,11.0952301,204.061203
2364.534912,10.16094971,203.3379059
1935.847046,9.202415466,197.8013
1549.480957,8.539284706,195.5061035
1625.755981,8.809141159,187.4846039
1994.222046,9.608460426,188.0238953
2362,9.844923973,190.6604004
2097.771973,9.338670731,196.7335968
1564.590942,8.424916267,197.0158997
1107.474976,7.656233788,188.6903992
1303.116943,8.144581795,181.6596069
1561.182007,8.54713726,173.5366974
1544.999023,8.381804466,171.3834076
1456.738037,7.850449085,179.8197937
1795.644043,8.656551361,188.2382965
2773.291016,10.92311954,179.039093
2782.568115,10.4051199,176.9255981
2446.424072,9.498130798,174.677002
3412.39209,11.93025017,180.6725006
3255.337891,11.07629013,183.8755035
2796.876953,10.45788002,192.1911011
2467.954102,9.791149139,197.104599
1278.886963,7.626486778,202.940506
1042.537964,7.287635803,207.3871002
609.0761719,6.228209019,216.9989014
175.4407043,4.47162199,222.5090942
112.1109009,4.127829075,215.4514008
271.9171143,5.032844067,202.5102997
737.4487915,6.267045021,211.2003021
1375.579956,7.763337135,193.6107025
1520.890015,8.21955204,172.135498
1349.112061,7.974888802,168.3569031
889.1298218,6.794364929,171.1295013
412.115509,5.536108017,162.7037964
444.6036072,5.491714954,150.2816925
655.7307129,6.076754093,149.6408997
882.5654297,6.69093895,152.2225037
998.3845825,6.848011971,157.1643066
1193.395996,7.759384155,152.699707
1122.712036,7.417626858,152.076004
1214.125977,7.472226143,154.7837982
1086.307007,7.080772877,160.2183075
1060.603027,7.053721905,165.8153992
1451.713989,7.766314983,170.8444977
1361.459961,7.833246231,173.0240936
1490.569946,7.959300995,173.9763947
1153.139038,7.283742905,176.7931976
953.9760132,7.001252174,178.0930023
799.0856934,6.758135796,174.0330048
616.2548218,6.179992199,167.9960022
646.9244995,6.301719189,168.8119965
1323.682007,7.517776966,184.7017975
1568.885986,8.094202995,194.0092926
1580.902954,7.854953766,197.8014984
1495.180054,7.719468117,191.2086945
2063.868896,8.847901344,195.0639038
2368.76001,9.631019592,198.074707
2516.419922,9.767664909,191.838501
2108.770996,9.185004234,190.0070038
2568.111084,9.927650452,179.3226929
3445.219971,12.03275967,175.9355011
2994.106934,10.87308979,180.7583008
2594.937012,10.38061047,177.4212036
2326.825928,10.34302044,164.6313934
1941.463989,9.283791542,157.3659973
1581.487061,8.263951302,151.1777039
1013.286987,7.161077023,144.4230042
375.6176147,5.502151966,145.3318024
198.1511993,4.645584106,155.7653046
87.44045258,3.847867012,162.271698
189.1378021,4.553710938,148.0536041
434.4317932,5.735952854,136.6712036
336.5007935,5.057969093,139.4640045
296.6101074,4.922440052,141.7938995
92.9240036,3.821350098,148.5747986
85.70230103,3.580841064,165.8957062
309.5114136,4.716145039,187.6051941
381.1726074,5.080855846,188.4362946
417.2662964,5.343267918,202.2389984
446.343811,5.452712059,201.0330963
206.6020966,4.29698801,191.4851074
251.3757019,4.736260891,183.4333954
275.0136108,4.780562878,187.9405975
314.2744141,4.894141197,180.8480072
238.7823029,4.487487793,185.8578033
409.0264893,5.314783096,180.8168945
506.4703064,5.711400986,186.1788025
427.9566956,5.374886036,196.3742065
952.2675781,6.895505905,193.9367065
1019.905029,7.240921021,187.7236023
1015.357971,6.709988117,185.273407
979.7229004,6.851963043,183.7971039
379.4078979,5.078312874,185.1383972
841.5977783,6.521288872,189.263504
672.6187744,6.171179771,189.2765045
452.0786133,5.449243069,190.636795
558.9979248,5.851128101,196.9326935
331.7192993,5.094088078,193.4658051
212.1006927,4.598594189,197.9337006
79.72102356,3.629702091,199.7156067
183.0128021,4.472650051,205.3706055
279.1960144,4.918616772,204.3323059
460.2166138,5.625835896,209.3771057
647.7111206,6.316774845,211.6537018
685.0780029,6.237164974,212.0509033
709.8339844,6.449378014,211.607605
493.3555908,5.782717228,212.3511047
366.0793152,5.346119881,216.8318024
183.0379028,4.379333019,220.0410004
7.347679138,3.011370897,238.6905975
